Today's date:,2/11/19,Release 48,,,,,,,,,,,,,
Endowment:,14032119.12,,,,,,,,,,,,,,
Target Price:,16.93,,,,,,,,,,,,,,
ndau outstanding:,2915019.23,,,,,,,,,,,,,,
chain date,ndau amount in,address ID,Locked until,EAI address,Delegated To,,,,,days,years,base rate, compound rate ,actual EAI earned,Simple EAI
,,,,,,,,,,,,,,,
4/9/18,2200.16726,ndai9kea49dvdivhbrseeushxbfww8yuvx8789ft662v6mqp,6/26/19,FALSE,ndarw5i7rmqtqstw4mtnchmfvxnrq4k3e2ytsyvsc7nxt2y7,,,,,443,1,13%, 0.12 ,255.09115128,241.3553344
4/2/18,12197.62194,ndai9aw3gyydgsz8k7fa5dvpqprnw24scdrpnwkc2gcsw3qx,6/26/19,FALSE,ndaq3nqhez3vvxn8rx4m6s6n3kv7k9js8i3xw8hqnwvi2ete,,,,,450,1,13%, 0.12 ,1448.19182363,1368.472927
4/9/18,21605.63874,ndanv6893ijacw28uw7dimzpk4e7ag6fyxppb79j3es2zk8b,6/26/19,FALSE,ndahnsxr8zh7r6u685ka865wz77wb78xcn45rgskpeyiwuza,,,,,443,1,13%, 0.12 ,2504.99467041,2370.108973
4/1/18,2521.857422,ndadggcy4bdwbiqn6g75gx6gyikbqvr6dtiz2vwrnyhpubdr,6/26/19,FALSE,ndam75fnjn7cdues7ivi7ccfq8f534quieaccqibrvuzhqxa,,,,,451,1,13%, 0.12 ,300.41856621,283.829871
5/7/18,6702.199799,ndaf3r9e84n9tug7amigywmtv94pvcubtpphiggrf3e4k9qm,6/26/19,FALSE,ndaekyty73hd56gynsswuj5q9em68tp6ed5v7tpft872hvuc,,,,,415,1,13%, 0.10 ,702.84744798,668.3837608
5/7/18,1000,ndapxrzu5hkp5u5xs8av8t7gjhvhsjxixczpr9eknpnhfiqk,6/26/19,FALSE,ndarw5i7rmqtqstw4mtnchmfvxnrq4k3e2ytsyvsc7nxt2y7,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndakyc6vavxhg33gwecjp6r98em2nzz73fc2n9emh9vqjc36,6/26/19,FALSE,ndaq3nqhez3vvxn8rx4m6s6n3kv7k9js8i3xw8hqnwvi2ete,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndarrvqcbjm2yay68svnj9ua6t3cbhm799sebau9hbdkegpb,6/26/19,FALSE,ndahnsxr8zh7r6u685ka865wz77wb78xcn45rgskpeyiwuza,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndajw9sbqjy7bxijwtg7b64qddxriy6pnffej72vbfyk48nd,6/26/19,FALSE,ndam75fnjn7cdues7ivi7ccfq8f534quieaccqibrvuzhqxa,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndar7ie6pn49wq7jxhvrqib55ta6cmvpyyj4hwsv5tbps64v,6/26/19,FALSE,ndaekyty73hd56gynsswuj5q9em68tp6ed5v7tpft872hvuc,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndapvpy2mzxwqm5xute4577vsk2j7gdrhk9jfekfn5rfb3xe,6/26/19,FALSE,ndarw5i7rmqtqstw4mtnchmfvxnrq4k3e2ytsyvsc7nxt2y7,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndadacy4pdr6zdb2bee3xyx44tfpfa2wdqmkeyj7xstxe4ez,6/26/19,FALSE,ndaq3nqhez3vvxn8rx4m6s6n3kv7k9js8i3xw8hqnwvi2ete,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndai4rhkdkdigyrjkqfe97duy4ksvwh65hi43ux4uikmd6pk,6/26/19,FALSE,ndahnsxr8zh7r6u685ka865wz77wb78xcn45rgskpeyiwuza,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndafmwtyixg52xn6iaeg7yxqtvm4a6mqj3yznhmii5cvv9ks,6/26/19,FALSE,ndam75fnjn7cdues7ivi7ccfq8f534quieaccqibrvuzhqxa,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndak3fba27mmytgf2icyrvpdcs6nwbcmf4n3qx6fzwqkmi4p,6/26/19,FALSE,ndaekyty73hd56gynsswuj5q9em68tp6ed5v7tpft872hvuc,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndankj2p8b2r33jufa466j26cjyp4kmt7672vm9zwxq9s5as,6/26/19,FALSE,ndarw5i7rmqtqstw4mtnchmfvxnrq4k3e2ytsyvsc7nxt2y7,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndajinjcjgj2ukux39gi54mwpa9t83x9kwdcddngewx2a25k,6/26/19,FALSE,ndaq3nqhez3vvxn8rx4m6s6n3kv7k9js8i3xw8hqnwvi2ete,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndabihsevkqfkha75dzqytaiy2tbbp4t98hyhti2biqeruwy,6/26/19,FALSE,ndahnsxr8zh7r6u685ka865wz77wb78xcn45rgskpeyiwuza,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndae3aa43gtvaqq3ey7wuj76qrs9psz4h87fwty5iphiubjg,6/26/19,FALSE,ndam75fnjn7cdues7ivi7ccfq8f534quieaccqibrvuzhqxa,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndaf3ebhwaxrf3awwqpfp69u5szkvxpnmekgx4ydhzzwz8cg,6/26/19,FALSE,ndaekyty73hd56gynsswuj5q9em68tp6ed5v7tpft872hvuc,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndajfnfbr4jb7hh6wkewvmcti7sa7g4wkc6trtvwduv544gp,6/26/19,FALSE,ndarw5i7rmqtqstw4mtnchmfvxnrq4k3e2ytsyvsc7nxt2y7,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndaiqnnh2zjzd3ddkfcx2mmp48t4hhfkwd2hft5j8a72eg84,6/26/19,FALSE,ndaq3nqhez3vvxn8rx4m6s6n3kv7k9js8i3xw8hqnwvi2ete,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndankn6irac4ktq78xu6bip9582jv2s6zb28e3m8ju33epjr,6/26/19,FALSE,ndahnsxr8zh7r6u685ka865wz77wb78xcn45rgskpeyiwuza,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndarcmrwtpxp3kuf7emx79r32pbnd7j3vca5e67uw5c4xyh4,6/26/19,FALSE,ndam75fnjn7cdues7ivi7ccfq8f534quieaccqibrvuzhqxa,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
5/7/18,1000,ndah44xmc44ef6irqbbmiafa6svw8mvvhymffpwekaspw49m,6/26/19,FALSE,ndaekyty73hd56gynsswuj5q9em68tp6ed5v7tpft872hvuc,,,,,415,1,13%, 0.10 ,104.86817300,99.7260274
